"geo_location_cent_id","location_id","country","latitude","longitude","cnt_loc"
251,178,"Bulgaria","42.733883","25.48583",2
288,25,"Algeria","28.033886","1.659626",61
283,224,"Germany","51.165691","10.451526",8
436,168,"Syria","34.802075","38.996815",69
363,22,"Libya","26.3351","17.228331",66
303,231,"United Kingdom","55.378051","-3.435973",6
242,221,"Austria","47.516231","14.550072",2
275,124,"China","35.86166","104.195397",3
334,165,"Iraq","33.223191","43.679291",1
340,164,"Jordan","30.585164","36.238414",6
422,27,"Sudan","12.862807","30.217636",3
468,218,"Kosovo","42.602636","20.902977",3
301,223,"France","46.227638","2.213749",12
447,23,"Tunisia","33.886917","9.537499",61
410,209,"Portugal","39.399872","-8.224454",57
315,202,"Greece","39.074208","21.824312",69
329,230,"Ireland","53.41291","-8.24389",4
291,24,"Egypt","26.820553","30.802498",69
249,222,"Belgium","50.503887","4.469936",8
236,154,"Armenia","40.069099","45.038189",1
449,151,"Turkey","38.963745","35.243322",89
235,211,"Albania","41.153332","20.168331",3
426,171,"Slovenia","46.151241","14.995463",3
337,204,"Italy","41.87194","12.56738",105
428,192,"Slovakia","48.669026","19.699024",1
325,193,"Croatia","45.1","15.2",4
281,181,"Cyprus","35.126413","33.429859",2
294,210,"Spain","40.463667","-3.74922",59
354,170,"Lebanon","33.854721","35.862285",8
416,179,"Serbia","44.016521","21.005859",37
246,212,"Bosnia and Herzegovina","43.915886","17.679076",3
330,167,"Israel","31.046051","34.851612",12
350,161,"Kuwait","29.31166","47.481766",2
367,185,"Montenegro","42.708678","19.37439",2
335,169,"Iran","32.427908","53.688046",6
327,189,"Hungary","47.162494","19.503304",1
364,26,"Morocco","31.791702","-7.09262",60
