"geo_location_id","location_id","countryname","capitallatitude","capitallongitude","cnt_loc"
4,166,"Palestine","31.766666666666666","35.233333",5
87,224,"Germany","52.516666666666666","13.400000",8
204,27,"Sudan","15.6","32.533333",3
29,222,"Belgium","50.833333333333336","4.333333",8
174,209,"Portugal","38.71666666666667","-9.133333",57
115,164,"Jordan","31.95","35.933333",6
90,202,"Greece","37.983333333333334","23.733333",69
40,178,"Bulgaria","42.68333333333333","23.316667",2
108,230,"Ireland","53.31666666666667","-6.233333",4
12,25,"Algeria","36.75","3.050000",61
227,231,"United Kingdom","51.5","-0.083333",6
65,181,"Cyprus","35.166666666666664","33.366667",2
111,204,"Italy","41.9","12.483333",105
22,221,"Austria","48.2","16.366667",2
150,26,"Morocco","34.016666666666666","-6.816667",60
107,165,"Iraq","33.333333333333336","44.400000",1
210,168,"Syria","33.5","36.300000",69
191,179,"Serbia","44.833333333333336","20.500000",37
11,211,"Albania","41.31666666666667","19.816667",3
35,212,"Bosnia and Herzegovina","43.86666666666667","18.416667",3
121,218,"Kosovo","42.666666666666664","21.166667",3
62,193,"Croatia","45.8","16.000000",4
122,161,"Kuwait","29.366666666666667","47.966667",2
72,24,"Egypt","30.05","31.250000",69
126,170,"Lebanon","33.86666666666667","35.500000",8
197,171,"Slovenia","46.05","14.516667",3
219,23,"Tunisia","36.8","10.183333",61
19,154,"Armenia","40.166666666666664","44.500000",1
110,167,"Israel","31.766666666666666","35.233333",12
202,210,"Spain","40.4","-3.683333",59
220,151,"Turkey","39.93333333333333","32.866667",89
196,192,"Slovakia","48.15","17.116667",1
82,223,"France","48.86666666666667","2.333333",12
129,22,"Libya","32.88333333333333","13.166667",66
52,124,"China","39.916666666666664","116.383333",3
148,185,"Montenegro","42.43333333333333","19.266667",2
102,189,"Hungary","47.5","19.083333",1
106,169,"Iran","35.7","51.416667",6
